Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,22,Control.none,Control,0,0,none,8,,NA,0,15759,,,,,,
,23,Control.chop,Control,1,1,chop,8,,NA,0,27585,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,686.8,,,,,,
,28,Control.none,Control,0,0,none,8,,NA,0,5723,,,,,,
,29,Control.none,Control,0,0,none,8,,NA,69,3724,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,102,2936,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,1970,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,3156,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,83,2704,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,2185,,,,,,
,35,Control.none,Control,0,0,none,8,,NA,0,5907,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,1382,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,0,3475,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,8,,550,0,1845,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,8,,NA,246,734.2,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,8,,NA,0,7098,,,,,,
,1,Control.none,Control,0,0,none,9,,NA,0,,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,9,,650,0,,,,,,,
,4,Control.chop,Control,1,1,chop,9,,NA,3,,,,,,,
,5,Control.chop,Control,1,1,chop,9,,NA,0,,,,,,,
,6,Control.chop,Control,1,1,chop,9,,NA,0,,,,,,,
,7,Control.chop,Control,1,1,chop,9,,NA,0,,,,,,,
,8,Control.none,Control,0,0,none,9,,NA,0,,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,9,,1200,0,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,9,,850,0,,,,,,,
,13,Control.chop,Control,1,1,chop,9,,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,15,Control.none,Control,0,0,none,9,,NA,0,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,9,,950,0,,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,0,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,9,,850,1,,,,,,,
,19,Control.chop,Control,1,1,chop,9,,NA,0,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,9,,750,0,,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,0,,,,,,,
,22,Control.none,Control,0,0,none,9,,NA,0,,,,,,,
,23,Control.chop,Control,1,1,chop,9,,NA,0,,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,28,Control.none,Control,0,0,none,9,,NA,0,,,,,,,
,29,Control.none,Control,0,0,none,9,,NA,4,,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,4,,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,0,,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,0,,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,0,,,,,,,
,35,Control.none,Control,0,0,none,9,,NA,0,,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,9,,600,0,,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,9,,NA,0,,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,9,,NA,2,,,,,,,
,1,Control.none,Control,0,0,none,10,,NA,0,3385,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,4265,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,10,,850,0,1800,,,,,,
,4,Control.chop,Control,1,1,chop,10,,NA,0,2028,,,,,,
,5,Control.chop,Control,1,1,chop,10,,NA,0,2165,,,,,,
,6,Control.chop,Control,1,1,chop,10,,NA,0,3119,,,,,,
,7,Control.chop,Control,1,1,chop,10,,NA,0,20619,,,,,,
,8,Control.none,Control,0,0,none,10,,NA,0,8779,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,3685,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,10,,1100,0,636.2,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,10,,1000,0,893.6,,,,,,
,13,Control.chop,Control,1,1,chop,10,,NA,0,3741,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,2532,,,,,,
,15,Control.none,Control,0,0,none,10,,NA,3,2436,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,10,,700,0,724.4,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,0,9181,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,10,,800,12,1624,,,,,,
,19,Control.chop,Control,1,1,chop,10,,NA,0,2441,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,10,,650,0,4467,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,0,6433,,,,,,
,22,Control.none,Control,0,0,none,10,,NA,1,6410,,,,,,
,23,Control.chop,Control,1,1,chop,10,,NA,0,6756,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,4372,,,,,,
,28,Control.none,Control,0,0,none,10,,NA,0,2376,,,,,,
,29,Control.none,Control,0,0,none,10,,NA,11,8127,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,52,3860,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,7186,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,0,1634,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,0,3993,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,0,5407,,,,,,
,35,Control.none,Control,0,0,none,10,,NA,0,5730,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,2891,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,6841,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,10,,500,0,3217,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,10,,NA,0,4104,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,10,,NA,21,16506,,,,,,
,1,Control.none,Control,0,0,none,11,,NA,0,,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,11,,950,0,,,,,,,
,4,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,5,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,6,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,7,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,8,Control.none,Control,0,0,none,11,,NA,0,,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,11,,1700,0,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,11,,750,1,,,,,,,
,13,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,15,Control.none,Control,0,0,none,11,,NA,0,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,11,,800,0,,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,0,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,11,,1000,11,,,,,,,
,19,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,11,,800,0,,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,0,,,,,,,
,22,Control.none,Control,0,0,none,11,,NA,0,,,,,,,
,23,Control.chop,Control,1,1,chop,11,,NA,0,,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,28,Control.none,Control,0,0,none,11,,NA,0,,,,,,,
,29,Control.none,Control,0,0,none,11,,NA,32,,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,31,,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,0,,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,0,,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,0,,,,,,,
,35,Control.none,Control,0,0,none,11,,NA,0,,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,11,,600,0,,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,11,,NA,0,,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,11,,NA,80,,,,,,,
,1,Control.none,Control,0,0,none,12,,NA,5,1146,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,15,5953,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,12,,800,0,2627,,,,,,
,4,Control.chop,Control,1,1,chop,12,,NA,0,2258,,,,,,
,5,Control.chop,Control,1,1,chop,12,,NA,2,1863,,,,,,
,6,Control.chop,Control,1,1,chop,12,,NA,0,2316,,,,,,
,7,Control.chop,Control,1,1,chop,12,,NA,111,4444,,,,,,
,8,Control.none,Control,0,0,none,12,,NA,5,8070,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,2,8592,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,12,,1550,40,467,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,12,,950,18,1058,,,,,,
,13,Control.chop,Control,1,1,chop,12,,NA,0,2503,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,0,4479,,,,,,
,15,Control.none,Control,0,0,none,12,,NA,8,1311,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,12,,800,171,1384,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,1729,1951,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,12,,1300,9,994.4,,,,,,
,19,Control.chop,Control,1,1,chop,12,,NA,9,2770,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,12,,1150,0,3276,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,31,1728,,,,,,
,22,Control.none,Control,0,0,none,12,,NA,109,6717,,,,,,
,23,Control.chop,Control,1,1,chop,12,,NA,159,5195,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,512,4348,,,,,,
,28,Control.none,Control,0,0,none,12,,NA,58,5724,,,,,,
,29,Control.none,Control,0,0,none,12,,NA,27,6089,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,1715,2386,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,522,4393,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,0,3398,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,7,2528,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,657,1723,,,,,,
,35,Control.none,Control,0,0,none,12,,NA,290,8490,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,0,4859,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,7,4435,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,12,,700,0,7434,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,12,,NA,25,5426,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,12,,NA,295,3456,,,,,,
,1,Control.none,Control,0,0,none,13,,NA,3,,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,35,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,13,,950,0,,,,,,,
,4,Control.chop,Control,1,1,chop,13,,NA,0,,,,,,,
,5,Control.chop,Control,1,1,chop,13,,NA,0,,,,,,,
,6,Control.chop,Control,1,1,chop,13,,NA,0,,,,,,,
,7,Control.chop,Control,1,1,chop,13,,NA,165,,,,,,,
,8,Control.none,Control,0,0,none,13,,NA,3,,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,13,,1950,1116,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,13,,1000,604,,,,,,,
,13,Control.chop,Control,1,1,chop,13,,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,1,,,,,,,
,15,Control.none,Control,0,0,none,13,,NA,1,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,13,,950,309,,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,6,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,13,,1350,15,,,,,,,
,19,Control.chop,Control,1,1,chop,13,,NA,2,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,13,,1100,0,,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,6,,,,,,,
,22,Control.none,Control,0,0,none,13,,NA,58,,,,,,,
,23,Control.chop,Control,1,1,chop,13,,NA,26,,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,9,,,,,,,
,28,Control.none,Control,0,0,none,13,,NA,45,,,,,,,
,29,Control.none,Control,0,0,none,13,,NA,0,,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,184,,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,15,,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,0,,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,0,,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,30,,,,,,,
,35,Control.none,Control,0,0,none,13,,NA,30,,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,0,,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,1,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,13,,650,0,,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,13,,NA,261,,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,13,,NA,139,,,,,,,
,1,Control.none,Control,0,0,none,14,,NA,46,1111,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,0,3655,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,14,,650,6,2875,,,,,,
,4,Control.chop,Control,1,1,chop,14,,NA,0,3867,,,,,,
,5,Control.chop,Control,1,1,chop,14,,NA,0,1961,,,,,,
,6,Control.chop,Control,1,1,chop,14,,NA,14,1785,,,,,,
,7,Control.chop,Control,1,1,chop,14,,NA,304,9560,,,,,,
,8,Control.none,Control,0,0,none,14,,NA,5,7130,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,0,11587,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,14,,1850,396,3145,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,14,,900,111,2854,,,,,,
,13,Control.chop,Control,1,1,chop,14,,NA,0,1223,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,0,3598,,,,,,
,15,Control.none,Control,0,0,none,14,,NA,1,1455,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,14,,700,179,3447,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,6,1783,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,14,,1250,24,2384,,,,,,
,19,Control.chop,Control,1,1,chop,14,,NA,1,7328,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,14,,1050,0,2775,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,0,1285,,,,,,
,22,Control.none,Control,0,0,none,14,,NA,179,6916,,,,,,
,23,Control.chop,Control,1,1,chop,14,,NA,0,2729,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,0,6295,,,,,,
,28,Control.none,Control,0,0,none,14,,NA,92,6650,,,,,,
,29,Control.none,Control,0,0,none,14,,NA,15,8932,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,877,4245,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,73,5364,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,0,4813,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,0,2264,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,0,4888,,,,,,
,35,Control.none,Control,0,0,none,14,,NA,79,8136,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,0,4874,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,0,3360,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,14,,500,0,4843,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,14,,NA,55,4662,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,14,,NA,66,5348,,,,,,
,1,Control.none,Control,0,0,none,15,,NA,5,,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,3,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,15,,750,53,,,,,,,
,4,Control.chop,Control,1,1,chop,15,,NA,0,,,,,,,
,5,Control.chop,Control,1,1,chop,15,,NA,0,,,,,,,
,6,Control.chop,Control,1,1,chop,15,,NA,4,,,,,,,
,7,Control.chop,Control,1,1,chop,15,,NA,357,,,,,,,
,8,Control.none,Control,0,0,none,15,,NA,0,,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,15,,2100,909,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,15,,900,1,,,,,,,
,13,Control.chop,Control,1,1,chop,15,,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,0,,,,,,,
,15,Control.none,Control,0,0,none,15,,NA,0,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,15,,750,51,,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,0,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,15,,1350,12,,,,,,,
,19,Control.chop,Control,1,1,chop,15,,NA,0,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,15,,950,304,,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,0,,,,,,,
,22,Control.none,Control,0,0,none,15,,NA,87,,,,,,,
,23,Control.chop,Control,1,1,chop,15,,NA,0,,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,1,,,,,,,
,28,Control.none,Control,0,0,none,15,,NA,62,,,,,,,
,29,Control.none,Control,0,0,none,15,,NA,2,,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,1,,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,56,,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,0,,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,0,,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,0,,,,,,,
,35,Control.none,Control,0,0,none,15,,NA,37,,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,27,,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,0,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,15,,650,0,,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,15,,NA,1,,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,15,,NA,5,,,,,,,
,1,Control.none,Control,0,0,none,16,,NA,12,1847,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,0,2064,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,16,,600,0,2290,,,,,,
,4,Control.chop,Control,1,1,chop,16,,NA,0,2793,,,,,,
,5,Control.chop,Control,1,1,chop,16,,NA,0,2419,,,,,,
,6,Control.chop,Control,1,1,chop,16,,NA,1,2275,,,,,,
,7,Control.chop,Control,1,1,chop,16,,NA,17,6340,,,,,,
,8,Control.none,Control,0,0,none,16,,NA,0,5283,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,0,6156,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,16,,1950,73,2149,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,16,,700,0,3330,,,,,,
,13,Control.chop,Control,1,1,chop,16,,NA,0,2002,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,0,2467,,,,,,
,15,Control.none,Control,0,0,none,16,,NA,0,1283,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,16,,750,0,1520,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,1177,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,16,,1450,0,1716,,,,,,
,19,Control.chop,Control,1,1,chop,16,,NA,0,3279,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,16,,1000,169,4956,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,751.4,,,,,,
,22,Control.none,Control,0,0,none,16,,NA,27,7071,,,,,,
,23,Control.chop,Control,1,1,chop,16,,NA,0,1336,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,0,5251,,,,,,
,28,Control.none,Control,0,0,none,16,,NA,45,5901,,,,,,
,29,Control.none,Control,0,0,none,16,,NA,22,8531,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,2745,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,164,4637,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,6239,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,8288,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,4294,,,,,,
,35,Control.none,Control,0,0,none,16,,NA,54,7455,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,78,4365,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,0,3170,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,16,,600,0,4723,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,16,,NA,0,4177,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,16,,NA,0,4547,,,,,,
,1,Control.none,Control,0,0,none,17,,NA,2,,,,,,,
,2,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,0,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,17,,500,6,,,,,,,
,4,Control.chop,Control,1,1,chop,17,,NA,0,,,,,,,
,5,Control.chop,Control,1,1,chop,17,,NA,0,,,,,,,
,6,Control.chop,Control,1,1,chop,17,,NA,0,,,,,,,
,7,Control.chop,Control,1,1,chop,17,,NA,5,,,,,,,
,8,Control.none,Control,0,0,none,17,,NA,0,,,,,,,
,9,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,0,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,17,,1850,29,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,17,,700,1,,,,,,,
,13,Control.chop,Control,1,1,chop,17,,NA,0,,,,,,,
,14,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,0,,,,,,,
,15,Control.none,Control,0,0,none,17,,NA,0,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,17,,900,0,,,,,,,
,17,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,17,,1300,0,,,,,,,
,19,Control.chop,Control,1,1,chop,17,,NA,0,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,17,,850,19,,,,,,,
,21,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
,22,Control.none,Control,0,0,none,17,,NA,0,,,,,,,
,23,Control.chop,Control,1,1,chop,17,,NA,0,,,,,,,
,27,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,0,,,,,,,
,28,Control.none,Control,0,0,none,17,,NA,0,,,,,,,
,29,Control.none,Control,0,0,none,17,,NA,0,,,,,,,
,30,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
,31,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,34,,,,,,,
,32,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
,33,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
,34,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
,35,Control.none,Control,0,0,none,17,,NA,0,,,,,,,
,36,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,8,,,,,,,
,37,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,0,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,17,,650,2,,,,,,,
,39,Hyacinth.remove,Hyacinth,0,0,remove,17,,NA,0,,,,,,,
,40,Hyacinth.chop,Hyacinth,0,1,chop,17,,NA,0,,,,,,,
